Cluster_type,zonal_winds,meridional_winds,Humidity,air_temp,sea_surface_temp,zonal_winds:meridional_winds,zonal_winds:Humidity,zonal_winds:air_temp,zonal_winds:sea_surface_temp,meridional_winds:Humidity,meridional_winds:air_temp,meridional_winds:sea_surface_temp,Humidity:air_temp,Humidity:sea_surface_temp,air_temp:sea_surface_temp,zonal_winds_squared,meridional_winds_squared,Humidity_squared,air_temp_squared,sea_surface_temp_squared,month_8,month_4,month_1,month_11,month_6,month_7,month_5,month_2,month_10,month_12,month_9,month_3
1,-0.358362859,0.643201297,0.764571014,-0.0938453,-0.412461703,-0.637921499,-0.459840688,-0.364844513,-0.337274362,0.666865569,0.640572134,0.633261771,0.664821294,0.323062362,-0.298569727,33.64,1,7259.04,712.3561,715.5625,0,0,0,0,0,0,1,0,0,0,0,0
1,0.006583709,0.029306534,0.213061591,-0.654048748,-0.59753615,8.80E-05,-0.020304695,0.04893559,0.040912512,0.032371036,0.039675113,0.042357766,-0.278144993,-0.276176754,-0.659890672,23.04,0.25,6789.76,673.4025,700.1316,0,0,0,0,0,0,1,0,0,0,0,0
1,0.006583709,0.274864439,0.705480719,-1.08555681,-0.993212553,-0.223993404,-0.073776227,0.086370362,0.080905552,0.28180168,0.274686218,0.27608853,-0.163619907,-0.194220815,-1.067464348,23.04,0.01,7208.01,644.1444,667.7056,0,0,0,0,1,0,0,0,0,0,0,0
0,1.283896697,-0.216251371,-0.594505779,0.208967375,0.353363593,-0.07538388,1.288544731,1.271353279,1.259423579,-0.193165667,-0.215196725,-0.216513761,-0.397193549,-0.226555563,0.272867669,1.69,1.21,6130.89,733.8681,781.2025,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.540836142,-0.298104007,-0.082389886,-1.191541246,-1.210196387,0.450584903,-0.528952643,-0.422446994,-0.411186231,-0.288741426,-0.260841569,-0.252059637,-0.947729714,-0.987977913,-1.228802042,39.69,1.69,6544.81,637.0576,650.25,0,0,0,0,0,0,0,1,0,0,0,0
1,-0.723309426,-0.584588229,0.153971296,-2.160541805,-2.078131722,0.871515542,-0.745556908,-0.476026879,-0.458247934,-0.585056397,-0.489717207,-0.475680888,-1.4674771,-1.4796165,-2.091428107,46.24,4,6740.41,574.0816,582.7396,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.248878888,0.520422345,0.469119537,-0.919009839,-0.94853941,-0.486199735,-0.309184647,-0.173264955,-0.167344257,0.533290415,0.507712765,0.505961716,-0.247293678,-0.346760033,-0.968581661,30.25,0.49,7005.69,655.36,671.3281,0,0,0,0,1,0,0,0,0,0,0,0
0,0.11606768,0.152085487,0.784267779,0.367944029,0.238489799,-0.116621078,0.03169637,0.072332322,0.068367412,0.153547445,0.15352211,0.15580897,1.044917838,0.867015186,0.285504413,20.25,0.04,7276.09,745.29,771.1729,0,0,0,0,0,0,1,0,0,0,0,0
0,1.064928757,-2.098861979,-0.082389886,0.867584943,0.819240649,0.65599283,1.057191236,1.026344341,1.015420343,-2.075566378,-2.178137093,-2.17827663,0.581272596,0.57242386,0.864398215,3.61,32.49,6544.81,781.7616,822.5424,0,0,0,0,0,0,0,1,0,0,0,0
1,-0.723309426,-0.216251371,0.153971296,-0.419368925,-0.501807988,0.39534262,-0.745556908,-0.690018044,-0.683961342,-0.214148161,-0.201365414,-0.194728056,-0.15539289,-0.249628416,-0.499314753,46.24,1.21,6740.41,689.5876,708.0921,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.68681477,-0.379956642,0.410029242,-2.054557369,-2.193005517,0.595304125,-0.747784888,-0.456078086,-0.409600485,-0.388784749,-0.311409936,-0.29329581,-1.169914773,-1.380325594,-2.104103204,44.89,2.25,6955.56,580.81,574.0816,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.358362859,0.356717074,0.882751605,-1.176400612,-1.057031327,-0.322029005,-0.475347432,-0.25136352,-0.258551503,0.368392113,0.351038695,0.352028119,-0.076444096,-0.105204729,-1.141880288,33.64,0.09,7361.64,638.0676,662.5476,0,0,0,0,1,0,0,0,0,0,0,0
0,0.11606768,1.911917141,-1.067228142,1.972851206,0.985169463,-1.622167818,0.220183521,-0.058196815,-0.002386405,1.801275534,2.063576268,1.991601983,0.379863536,-0.177662222,1.519339956,20.25,16.81,5760.81,865.5364,837.5236,0,0,0,0,1,0,0,0,0,0,0,0
0,0.006583709,0.806906567,-2.150550223,-0.472361143,-0.348642928,-0.70950305,0.236358659,0.033173581,0.0157556,0.733929232,0.79170156,0.793476864,-2.324504407,-2.035536395,-0.440820714,23.04,1.96,4956.16,685.9161,720.9225,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.358362859,0.029306534,-0.358144598,-0.184689102,-0.386934193,0.038990988,-0.312526617,-0.355321632,-0.340392099,0.039649653,0.03497883,0.039919067,-0.458562652,-0.582474338,-0.326967024,33.64,0.25,6320.25,705.9649,717.7041,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.540836142,0.397643392,-1.658131095,-0.434509559,-0.406079825,-0.382717711,-0.304372209,-0.508645481,-0.517861215,0.385559607,0.395244355,0.396102049,-1.84422447,-1.66819037,-0.454298585,39.69,0.16,5314.41,688.5376,716.0976,0,0,0,0,0,0,0,0,1,0,0,0
1,0.408024934,0.92968552,1.079719256,-1.456502337,-1.395270833,-0.676046456,0.311040566,0.49315881,0.494207283,0.979896258,0.877249662,0.871323072,-0.124082974,-0.228114376,-1.442298872,13.69,2.89,7534.24,619.5121,635.5441,0,0,0,0,0,1,0,0,0,0,0,0
0,0.079573023,0.274864439,0.350938947,0.670756704,0.346981716,-0.222437283,0.038781348,0.009804213,0.020539713,0.280898128,0.278200856,0.279192327,0.858559216,0.582140661,0.494688483,21.16,0.01,6905.61,767.29,780.6436,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.431352172,-0.093472419,-0.003602825,-1.3505179,-1.312306426,0.186822451,-0.431500776,-0.301604924,-0.29548056,-0.087299451,-0.067112309,-0.061722925,-0.99620936,-1.005009609,-1.352587909,36,0.64,6609.69,626.5009,642.1156,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.942277367,0.520422345,-0.515718718,-0.593486213,-0.291206031,-0.589681759,-0.852945568,-0.882309082,-0.931337647,0.515721342,0.512272705,0.516618089,-0.901556968,-0.640866125,-0.466653631,54.76,0.49,6193.69,677.5609,725.7636,1,0,0,0,0,0,0,0,0,0,0,0
1,-0.102900261,0.111159169,1.650925445,-3.402073772,-3.182196525,-0.067603277,-0.296351479,0.1957193,0.211810191,0.104103053,0.134797574,0.138531161,-1.224363176,-1.30806826,-3.125686415,26.01,0.09,8046.09,498.1824,502.2081,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.759804083,-0.339030324,1.355473968,-1.32780695,-1.274015161,0.564959772,-0.969691746,-0.612658322,-0.607523031,-0.380652778,-0.295260781,-0.287679414,0.22222999,0.087602804,-1.322648546,47.61,1.96,7779.24,628.0036,645.16,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.650320113,0.438569709,-0.299054302,-0.654048748,-0.891102513,-0.443406417,-0.60474854,-0.590164622,-0.558338042,0.439471564,0.432799472,0.430036907,-0.746959915,-0.9161027,-0.817760701,43.56,0.25,6368.04,673.4025,676,0,0,0,0,0,1,0,0,0,0,0,0
1,0.444519591,0.029306534,0.075184235,-1.554916456,-1.267633284,-0.046595648,0.431529751,0.533617369,0.518410061,0.034127944,0.048688947,0.050117261,-1.079917873,-0.908842394,-1.420150515,12.96,0.25,6674.89,613.0576,645.6681,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.102900261,1.338948696,-1.500556974,-0.040853082,-0.099749707,-1.258035583,0.067254939,-0.114102691,-0.119220911,1.238061241,1.330804583,1.324935749,-1.432067572,-1.323771629,-0.100390403,26.01,7.29,5431.69,716.0976,742.0176,0,0,0,1,0,0,0,0,0,0,0,0
0,1.539359295,-0.666440865,-0.102086651,0.420936247,0.46185551,-0.083942544,1.526092012,1.528512099,1.520977525,-0.653124006,-0.675962713,-0.676452274,0.230595978,0.280580169,0.43790447,0.36,4.84,6528.64,749.1169,790.7344,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.504341486,-0.707367182,1.217596612,-0.328525123,-0.431607335,0.922867524,-0.675241843,-0.484619363,-0.478566978,-0.771037587,-0.682931391,-0.670422038,0.902890611,0.68031553,-0.418706743,38.44,5.29,7656.25,695.9044,713.9584,0,0,0,0,0,1,0,0,0,0,0,0
1,-1.088255994,-0.134398736,-0.397538128,0.049990721,0.11085225,0.359551844,-1.014073118,-1.115482831,-1.142188051,-0.119074375,-0.130254595,-0.12883886,-0.324672112,-0.239802438,0.060153775,60.84,0.81,6288.49,722.5344,760.1049,0,0,0,0,1,0,0,0,0,0,0,0
0,0.809466159,1.911917141,-0.594505779,-0.33609544,-0.272060399,-1.01605882,0.83497246,0.815117,0.805376251,1.850669728,1.87413426,1.872224003,-0.788921873,-0.69197941,-0.335052953,6.76,16.81,6130.89,695.3769,727.3809,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.467846829,0.479496027,-0.377841363,-1.978854201,-1.618636545,-0.471416589,-0.416083151,-0.266578238,-0.290185783,0.478324314,0.456205142,0.458355368,-1.784578593,-1.528200504,-1.784369116,37.21,0.36,6304.36,585.64,618.0196,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.321868202,0.274864439,0.922145135,-1.479213287,-1.58034528,-0.230995947,-0.442195083,-0.185606389,-0.161149099,0.282353851,0.273898455,0.27472877,-0.280368511,-0.501713287,-1.547647392,32.49,0.01,7396,618.0196,621.0064,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.175889575,0.725053932,0.410029242,-0.086274983,-0.131659094,-0.681492878,-0.227506881,-0.182979387,-0.188872769,0.74155923,0.721620894,0.720138553,0.336796767,0.253589055,-0.139661515,28.09,1.44,6955.56,712.89,739.2961,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.504341486,-0.298104007,1.020628961,-2.402791945,-2.467426248,0.440470119,-0.647614885,-0.252184458,-0.212779898,-0.325285099,-0.229331023,-0.214208083,-0.927273346,-1.155413799,-2.38430432,38.44,1.69,7482.25,558.8496,553.6609,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.540836142,0.479496027,0.232758356,-1.479213287,-1.465471485,-0.480753313,-0.57386873,-0.389691569,-0.377321157,0.487661022,0.462204265,0.460483686,-0.884957015,-0.940667646,-1.488466961,39.69,0.36,6806.25,618.0196,630.01,0,0,1,0,0,0,0,0,0,0,0,0
1,-1.015266681,-0.011619784,-0.692989605,-1.71389311,-1.312306426,0.168149003,-0.892603621,-0.799640628,-0.840331979,0.004862887,0.01308809,0.013182065,-1.864416795,-1.542951603,-1.513449493,57.76,0.36,6052.84,602.7025,642.1156,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.869288054,-0.420882959,0.075184235,-1.259674098,-1.146377612,0.709678993,-0.879057499,-0.724387981,-0.729276037,-0.416995661,-0.373370576,-0.36749136,-0.858517993,-0.814688898,-1.225892483,51.84,2.56,6674.89,632.5225,655.36,0,0,0,0,0,0,0,1,0,0,0,0
1,-0.832793397,-0.175325054,-0.102086651,-1.403510118,-1.427180221,0.365776327,-0.814178707,-0.671519575,-0.65289148,-0.166410479,-0.141889258,-0.133967516,-1.122470453,-1.170073916,-1.435465376,50.41,1,6528.64,623.0016,633.0256,0,0,0,0,0,0,0,1,0,0,0,0
0,0.408024934,-0.871072452,-0.279357537,-0.161978152,-0.201859746,0.590635763,0.42480125,0.4065909,0.401226153,-0.843723353,-0.851785499,-0.842756723,-0.368058512,-0.376935491,-0.214318155,13.69,7.29,6384.01,707.56,733.3264,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.467846829,1.09339079,0.213061591,-0.230111004,-0.380552316,-1.183341791,-0.497627237,-0.459375521,-0.449217247,1.107799112,1.079614024,1.069714879,0.042486335,-0.106247981,-0.344719301,37.21,4.41,6789.76,702.7801,718.24,0,0,0,0,0,1,0,0,0,0,0,0
1,-1.088255994,0.274864439,-0.71268637,-0.381517341,-0.763464964,-0.247335213,-0.958462724,-1.054651327,-0.998584009,0.278187471,0.276095103,0.276620609,-0.931254833,-1.153017959,-0.624380826,60.84,0.01,6037.29,692.2161,686.44,0,0,0,0,0,0,0,0,1,0,0,0
0,0.590498218,-1.116630358,0.429726007,0.595053535,1.463810273,0.634985201,0.551484221,0.544782126,0.470945203,-1.144003914,-1.143561035,-1.210202057,0.877528606,1.536237105,1.096517546,10.24,10.89,6972.25,761.76,881.4961,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.504341486,0.970611838,0.705480719,0.26952991,-0.323115418,-1.054961837,-0.603411752,-0.551635266,-0.49273118,1.006300066,0.977129003,0.953278117,0.892349745,0.346480944,-0.078451005,38.44,3.24,7208.01,738.2089,723.0721,0,0,0,0,1,0,0,0,0,0,0,0
0,-0.723309426,0.684127615,-0.614202544,1.291522687,0.774567506,-0.768635635,-0.627384822,-0.900287624,-0.866725236,0.670981752,0.711501161,0.703038104,0.361005322,0.069539987,1.05040368,46.24,1.21,6115.24,813.3904,818.5321,0,1,0,0,0,0,0,0,0,0,0,0
1,0.006583709,0.274864439,-0.358144598,-0.608626847,-0.06784032,-0.223993404,0.041722282,0.044995088,-0.012626558,0.279091023,0.275640624,0.278231628,-0.767909626,-0.341373941,-0.353383175,23.04,0.01,6320.25,676.5201,744.7441,0,0,0,0,0,0,0,0,1,0,0,0
1,0.736476845,0.152085487,-1.796008451,-1.660900892,-1.120850102,-0.143075129,0.841299925,0.80999982,0.78293392,0.166699151,0.161642135,0.162105246,-2.784578123,-2.272281822,-1.39230868,7.84,0.04,5212.84,606.1444,657.4096,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.68681477,-0.379956642,0.173668061,-0.707040966,-0.795374351,0.595304125,-0.711958962,-0.619253191,-0.606783913,-0.379749226,-0.351858569,-0.341848077,-0.354189317,-0.462833953,-0.790490197,44.89,2.25,6756.84,669.7744,683.8225,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.394857515,-0.543661912,0.331242182,-0.69947065,-0.757083086,0.685559123,-0.439967102,-0.336782117,-0.330407278,-0.552428118,-0.508971969,-0.498131693,-0.204560437,-0.305739605,-0.766487658,34.81,3.61,6889,670.2921,686.9641,0,0,0,0,0,0,0,0,0,0,0,1
0,0.736476845,2.198401364,0.114577765,0.110553256,-0.176332237,-1.232359592,0.720276024,0.720353394,0.727244686,2.212542441,2.196678026,2.161897029,0.206470805,-0.028562097,-0.071125529,7.84,23.04,6707.61,726.8416,735.4944,0,0,0,0,1,0,0,0,0,0,0,0
1,-0.613825456,0.029306534,0.153971296,-0.449650193,-0.323115418,0.0662231,-0.635806588,-0.57867149,-0.601139734,0.033123997,0.037629958,0.039180068,-0.178211746,-0.110196569,-0.416297099,42.25,0.25,6740.41,687.4884,723.0721,0,0,0,0,0,0,0,0,1,0,0,0
1,-1.234234622,-0.339030324,-0.338447832,-2.160541805,-2.173859884,0.706566752,-1.166377865,-0.934985935,-0.895886827,-0.320215166,-0.271930857,-0.258503713,-1.883691918,-1.918085625,-2.138959722,67.24,1.96,6336.16,574.0816,575.5201,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.358362859,0.152085487,-1.047531377,-1.433791386,-1.325070181,-0.096391509,-0.222070609,-0.224382026,-0.225815264,0.162884152,0.160733177,0.163051165,-1.976079101,-1.828826922,-1.396043496,33.64,0.04,5776,621.0064,641.1024,0,0,1,0,0,0,0,0,0,0,0,0
0,0.663487532,-0.298104007,-0.456628423,0.693467655,0.583111182,0.116797021,0.686054244,0.614972322,0.606378623,-0.27634268,-0.309879856,-0.306050941,0.085886632,0.064614867,0.641466479,9,1.69,6241,768.9529,801.4561,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.394857515,0.847832885,0.331242182,0.769170823,0.372509226,-0.8752299,-0.439967102,-0.493389717,-0.470745759,0.864141164,0.868644859,0.85821322,0.914286142,0.585331071,0.557447671,34.81,2.25,6889,774.5089,782.8804,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.90578271,0.684127615,-0.121783416,-1.736604061,-1.50376275,-0.811428953,-0.882934185,-0.695874068,-0.708741976,0.684786024,0.644844237,0.644997083,-1.386541036,-1.244072026,-1.620788416,53.29,1.21,6512.49,601.2304,627.0016,0,0,0,0,0,0,0,0,0,0,1,0
1,-1.672170503,0.233938122,-0.180873711,-2.251385608,-2.193005517,-0.186646508,-1.625520087,-1.312945778,-1.278965324,0.239184128,0.236237293,0.237897035,-1.817542251,-1.816307898,-2.186491336,88.36,0,6464.16,568.3456,574.0816,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.869288054,0.070232851,-0.614202544,-0.510212728,-0.565626762,0.037434868,-0.766767282,-0.821915412,-0.81732523,0.08216681,0.077836202,0.08117002,-0.932220674,-0.926523089,-0.576116532,51.84,0.16,6115.24,683.2996,702.7801,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.102900261,-0.257177689,0.410029242,-1.857729131,-1.350597691,0.289526415,-0.153181452,0.053368655,0.015110551,-0.263190974,-0.206607072,-0.210468745,-1.019243619,-0.712595768,-1.596453923,26.01,1.44,6955.56,593.4096,639.0784,0,0,0,0,0,0,0,0,0,0,1,0
0,0.262046307,-0.175325054,0.469119537,-0.101415617,-0.118895339,0.132358228,0.212964864,0.256523439,0.248497355,-0.180967711,-0.167946056,-0.164266496,0.380822428,0.313218188,-0.139796413,16.81,1,7005.69,711.8224,740.3841,0,0,0,0,1,0,0,0,0,0,0,0
1,-0.467846829,-0.257177689,0.449422772,-1.554916456,-1.337833936,0.382893654,-0.530244872,-0.313316973,-0.326254775,-0.26439571,-0.213878736,-0.210823465,-0.753032899,-0.67178763,-1.456170856,37.21,1.44,6988.96,613.0576,640.09,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.066405604,0.479496027,0.13427453,0.29224086,0.449091755,-0.420064607,-0.08482701,-0.107589917,-0.140400021,0.486155101,0.483473884,0.487087668,0.361950317,0.475304374,0.367487852,25,0.36,6724,739.84,789.61,0,0,0,0,1,0,0,0,0,0,0,0
0,-0.029910947,2.034696094,0.429726007,0.610194169,0.276781064,-1.86414458,-0.081039443,-0.098532235,-0.084858611,2.083434851,2.077301535,2.047736385,0.889132592,0.59421691,0.424946353,24.01,19.36,6972.25,762.8644,774.5089,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.467846829,0.274864439,1.000932196,-0.086274983,-0.150804727,-0.234108188,-0.606352686,-0.475233306,-0.47872824,0.28255464,0.276685926,0.278039488,0.893371174,0.732623702,-0.150254955,37.21,0.01,7464.96,712.89,737.6656,0,0,0,0,1,0,0,0,0,0,0,0
1,0.22555165,1.011538155,1.158506317,-0.169548469,-0.055076565,-0.807538651,0.110165843,0.225190973,0.206286959,1.070853861,1.001595124,1.004815942,0.975141057,0.9437488,-0.137017784,17.64,3.61,7603.84,707.0281,745.8361,0,0,0,0,0,0,1,0,0,0,0,0
1,-0.102900261,-0.502735594,0.272151886,-0.305814172,-0.431607335,0.527612876,-0.137273671,-0.089679787,-0.083581952,-0.508053658,-0.483930174,-0.47296137,0.040283663,-0.097610824,-0.408105368,26.01,3.24,6839.29,697.4881,713.9584,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.650320113,-0.461809277,0.9418419,-1.08555681,-1.082558837,0.686337183,-0.790027398,-0.538691811,-0.53172977,-0.495554518,-0.417394445,-0.407840733,0.04800344,-0.079256867,-1.114456371,43.56,2.89,7413.21,644.1444,660.49,0,0,0,0,0,0,0,0,0,0,0,1
0,1.612348608,-0.7482935,-0.220267242,0.988710012,1.374463988,-0.111952716,1.599169772,1.599304317,1.588868936,-0.727014509,-0.786158728,-0.810299864,0.534439744,0.873863044,1.248634583,0.16,5.76,6432.04,790.7344,873.2025,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.504341486,0.725053932,-0.535415484,-0.744892551,-0.195477869,-0.765523394,-0.429361915,-0.437962722,-0.509394947,0.712645555,0.705805024,0.718364954,-1.028874232,-0.585695076,-0.486670074,38.44,1.44,6177.96,667.1889,733.8681,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.394857515,0.888759203,1.414564263,-1.176400612,-1.644164055,-0.92113546,-0.584563037,-0.285925009,-0.220197962,0.949978636,0.848511439,0.824840003,0.397457124,-0.177516652,-1.449224945,34.81,2.56,7832.25,638.0676,616.0324,0,0,0,0,0,0,0,0,0,0,1,0
1,-1.489697219,-0.339030324,0.075184235,-2.001565151,-2.052604213,0.782816664,-1.497945923,-1.190037681,-1.14428446,-0.334973188,-0.276384752,-0.262435191,-1.414856151,-1.518362395,-2.011597742,79.21,1.96,6674.89,584.1889,584.6724,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.540836142,0.070232851,0.587300128,-1.585197723,-1.778183481,0.009424696,-0.624399328,-0.377623781,-0.335836441,0.069918656,0.086441005,0.092402812,-0.656031916,-0.917176279,-1.695135585,39.69,0.16,7106.49,611.0784,605.6521,0,0,0,0,0,0,0,1,0,0,0,0
1,-1.088255994,0.397643392,-0.83086696,-0.608626847,-0.910248146,-0.429401331,-0.937608827,-1.022634746,-0.974475302,0.393992762,0.393850619,0.391431572,-1.201662444,-1.355924414,-0.807448959,60.84,0.16,5944.41,676.5201,674.4409,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.723309426,-0.298104007,1.867589861,-1.857729131,-2.078131722,0.501158825,-1.009171561,-0.513242734,-0.458247934,-0.353345418,-0.243510769,-0.225928615,0.233319787,-0.205769373,-1.963724916,46.24,1.69,8244.64,593.4096,582.7396,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.431352172,1.011538155,-0.83086696,0.087842305,-0.221005379,-1.073635285,-0.319210559,-0.457583139,-0.433359792,0.974525142,1.011381573,0.997514627,-0.708791835,-0.850869121,-0.106816561,36,3.61,5944.41,725.2249,731.7025,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.577330799,0.274864439,-0.515718718,-0.828166036,-0.878338758,-0.236442369,-0.502261437,-0.499013142,-0.490177861,0.278689444,0.275201295,0.276354569,-1.071079388,-1.080026709,-0.890044728,40.96,0.01,6193.69,661.5184,677.0404,1,0,0,0,0,0,0,0,0,0,0,0
0,0.11606768,0.725053932,-0.102086651,0.216537692,0.104470372,-0.606799086,0.121929581,0.084646392,0.081066814,0.725897656,0.728892559,0.726700868,0.079007622,0.006132099,0.13678627,20.25,1.44,6528.64,734.41,759.5536,0,0,0,0,0,0,1,0,0,0,0,0
1,0.043078366,-0.011619784,1.729712505,-1.47164297,-1.573963402,0.032766506,-0.144848805,0.15389251,0.173107249,-0.032182759,0.010179424,0.016817943,0.434124329,0.123467626,-1.541062531,22.09,0.36,8118.01,618.5169,621.5049,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.139394918,0.76598025,-0.161176946,-0.767603501,-0.316733541,-0.712615291,-0.123148275,-0.082414486,-0.132068138,0.76449942,0.744344845,0.75475329,-0.704643583,-0.366272485,-0.562248516,27.04,1.69,6480.25,665.64,723.61,0,0,0,0,0,0,1,0,0,0,0,0
0,0.371530277,-0.257177689,-0.220267242,0.860014626,0.659693712,0.168149003,0.384118326,0.300005787,0.29589502,-0.243915191,-0.27187026,-0.266337108,0.43970397,0.329042865,0.768193646,14.44,1.44,6432.04,781.2025,808.2649,0,0,0,0,0,0,0,0,0,0,0,1
0,0.736476845,0.684127615,-0.062693121,0.254389276,0.149143514,-0.42628909,0.731505046,0.71307441,0.708054477,0.686442537,0.688671165,0.687105275,0.144809865,0.073955612,0.180145312,7.84,1.21,6561,737.1225,763.4169,0,1,0,0,0,0,0,0,0,0,0,0
0,-0.504341486,-0.011619784,0.449422772,0.75403019,0.61502057,0.102791935,-0.567496706,-0.605926631,-0.615209866,-0.012605791,-0.016543943,-0.013599277,1.01869422,0.879843547,0.689808802,38.44,0.36,6988.96,773.3961,804.2896,0,0,0,0,0,0,1,0,0,0,0,0
1,-1.416707906,-0.216251371,0.370635712,-2.024276102,-2.103659232,0.557957229,-1.483285811,-1.120326365,-1.069942559,-0.22022204,-0.166037244,-0.153920503,-1.180281927,-1.338741082,-2.04673199,75.69,1.21,6922.24,582.7396,580.81,0,0,0,0,0,0,0,0,0,1,0,0
