"","Observation","New.Date","Latitude","Longitude","Zonal.Winds","Meridional.Winds","Humidity","Air.Temp","Sea.Surface.Temp","diff","buoy","MonthN","new_elnino_1","new_elnino_2","new_elnino_3","new_elnino_4","new_elnino_5","new_elnino_6","new_elnino_7","new_elnino_8","new_elnino_9","new_elnino_10","new_elnino_11","new_elnino_12"
"31",12431,1990-05-31,0.01,-139.93,-6.1,0.7,86.1,26.65,26.58,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"32",12432,1990-06-01,0.02,-139.93,-6.5,0.4,85.6,26.7,26.69,70,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"33",12433,1990-06-02,0.02,-139.92,-6.1,2.4,86.2,26.93,26.72,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"34",12434,1990-06-03,0.01,-139.92,-6.2,1.8,84.9,27.17,26.89,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"35",12435,1990-06-04,0.01,-139.92,-6.4,1,83.1,26.97,27.04,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"36",12436,1990-06-05,0.01,-139.93,-6.1,0.1,86.4,26.7,27.16,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"37",12437,1990-06-06,0.01,-139.92,-6,1.3,84.3,27.07,26.92,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"38",12438,1990-06-07,0.01,-139.93,-5.9,0.5,82.8,26.66,26.65,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"39",12439,1990-06-08,0.01,-139.93,-6.8,-0.8,82.4,26.41,26.44,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"40",12440,1990-06-09,0.01,-139.92,-5.7,-0.3,83.1,26.46,26.45,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"41",12441,1990-06-10,0,-139.93,-6.3,-1.5,82.5,26.97,26.67,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"42",12442,1990-06-11,0,-139.93,-5.5,0.8,81.2,26.71,27.05,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"43",12443,1990-06-12,0.01,-139.93,-4.2,3.1,81.7,26.59,27.19,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"44",12444,1990-06-13,0.01,-139.92,-3.9,1.3,81,26.64,27.22,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"45",12445,1990-06-14,0.01,-139.93,-5.1,1.2,81.5,26.66,27.1,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"46",12446,1990-06-15,0.01,-139.92,-7.2,1.3,83,26.64,26.78,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"47",12447,1990-06-16,0.01,-139.93,-7.8,0,84.8,26.37,26.49,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"48",12448,1990-06-17,0.01,-139.93,-7.6,-1.4,82,26.17,26.32,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"49",12449,1990-06-18,0.01,-139.93,-7,0.4,82.4,26.55,26.23,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"50",12450,1990-06-19,0.01,-139.92,-5.9,1.3,84.6,26.33,26.22,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"51",12451,1990-06-20,0.01,-139.92,-5,1.6,87.9,26.14,26.13,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"52",12452,1990-06-21,0.01,-139.92,-6.2,-0.2,86.5,26.21,26.03,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"53",12453,1990-06-22,0.01,-139.92,-5.1,-0.1,89.1,25.83,25.99,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"54",12454,1990-06-23,0.01,-139.92,-6.1,-0.3,87.9,25.92,25.9,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"55",12455,1990-06-24,0.01,-139.93,-5.5,0.2,87.2,25.69,25.82,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"56",12456,1990-06-25,0.01,-139.92,-5.3,1.3,89.4,25.82,25.78,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"57",12457,1990-06-26,0.01,-139.92,-5.6,1.2,89.4,25.67,25.62,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"58",12458,1990-06-27,0.01,-139.92,-5.4,1,88.6,25.66,25.44,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"59",12459,1990-06-28,0.01,-139.92,-4.2,2.1,88.2,25.61,25.57,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"60",12460,1990-06-29,0.01,-139.92,-3.8,4.1,85.8,25.8,25.62,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"61",12461,1990-06-30,0.01,-139.92,-3,3.3,83.2,25.96,26.67,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0
"62",12462,1990-07-01,0.01,-139.92,-3.7,3.4,81.5,26.08,27.02,71,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"63",12463,1990-07-02,0.01,-139.92,-5,2.3,79.6,26.36,27.32,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"64",12464,1990-07-03,0.01,-139.92,-6,2.7,80.2,26.82,27.46,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"65",12465,1990-07-04,0.01,-139.92,-7.3,1.6,80.8,26.94,27.43,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"66",12466,1990-07-05,0.01,-139.92,-6.8,0.9,78.7,26.47,27.5,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"67",12467,1990-07-06,0.01,-139.92,-6,-0.2,78.9,26.41,27.32,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"68",12468,1990-07-07,0.01,-139.92,-4.1,2.8,81.4,26.54,27.17,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"69",12469,1990-07-08,0.02,-139.92,-1.4,1,80,26.31,27.17,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"70",12470,1990-07-09,0.01,-139.92,-1.7,0.2,87.4,25.46,27.11,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"71",12471,1990-07-10,0.01,-139.92,-3.1,-0.4,86.3,25.76,27.02,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"72",12472,1990-07-11,0.01,-139.92,-4.3,0.7,86.3,25.92,26.9,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"73",12473,1990-07-12,0.01,-139.92,-3,1.4,86,26.13,26.82,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"74",12474,1990-07-13,0.02,-139.92,-6.2,1.3,83.8,26.54,26.81,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"75",12475,1990-07-14,0,-139.93,-7.4,-0.4,84.6,26.5,26.57,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"76",12476,1990-07-15,0.01,-139.92,-6.1,-0.7,84.8,26.3,26.48,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"77",12477,1990-07-16,0,-139.93,-5,0.9,82.3,26.26,26.53,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"78",12478,1990-07-17,0.01,-139.92,-7.5,-0.1,82.3,26.38,26.55,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"79",12479,1990-07-18,0,-139.93,-7.7,-0.2,81.8,26.57,26.56,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"80",12480,1990-07-19,0,-139.93,-7.7,-0.2,79.2,26.72,26.64,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"81",12481,1990-07-20,0,-139.93,-4.8,1.3,81.7,26.48,26.74,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"82",12482,1990-07-21,0.01,-139.93,-4.9,3.4,82.8,26.76,26.83,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"83",12483,1990-07-22,0.01,-139.92,-6.1,2.1,82.4,26.51,26.8,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"84",12484,1990-07-23,0.01,-139.92,-6.9,1.8,81.1,26.55,26.74,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"85",12485,1990-07-24,0.01,-139.92,-6.9,2,79.8,26.49,26.78,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"86",12486,1990-07-25,0.01,-139.92,-6.8,3.1,76.6,26.54,26.75,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"87",12487,1990-07-26,0.01,-139.91,-8,0,78.2,26.39,26.66,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"88",12488,1990-07-27,0.01,-139.92,-7.5,0.6,83.1,26.43,26.59,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"89",12489,1990-07-28,0.01,-139.92,-8.7,0.4,83.1,26.53,26.56,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"90",12490,1990-07-29,0,-139.93,-7.3,0.4,82.7,26.53,26.52,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"91",12491,1990-07-30,0.01,-139.93,-7.9,0.9,81.4,26.53,26.48,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"92",12492,1990-07-31,0.01,-139.93,-8.2,0.6,80.1,26.46,26.36,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0
"93",12493,1990-08-01,0,-139.93,-7.4,2,81.5,26.37,26.36,70,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"94",12494,1990-08-02,0,-139.93,-8.5,-0.2,79.2,26.39,26.35,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"95",12495,1990-08-03,0,-139.93,-8.9,-0.2,76.3,26.41,26.44,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"96",12496,1990-08-04,0.01,-139.93,-6.7,2.8,80.9,26.53,26.5,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"97",12497,1990-08-05,0,-139.92,-6.5,3.6,84.6,26.25,26.57,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"98",12498,1990-08-06,0.01,-139.92,-5.9,4.2,83.8,26.39,26.63,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"99",12499,1990-08-07,0,-139.93,-5.7,3.3,81,26.26,26.49,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"100",12500,1990-08-08,0.01,-139.93,-5.9,1.2,82.3,26.02,26.37,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"101",12501,1990-08-09,0.01,-139.92,-6.4,0.3,80.3,25.83,26.16,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"102",12502,1990-08-10,0,-139.92,-6.7,-1.2,79.1,25.7,25.94,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"103",12503,1990-08-11,0,-139.93,-6.7,-0.5,80.9,25.72,25.94,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"104",12504,1990-08-12,0.01,-139.93,-6.4,0.1,78.7,25.72,26.02,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"105",12505,1990-08-13,0.01,-139.92,-6.9,-0.2,80.3,25.81,26.02,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"106",12506,1990-08-14,0.02,-139.92,-7.8,-0.9,79.7,25.77,25.98,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"107",12507,1990-08-15,0,-139.93,-8.4,-0.3,79.1,25.85,25.91,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"108",12508,1990-08-16,0.02,-139.92,-8.5,-0.7,80.2,25.98,25.83,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"109",12509,1990-08-17,0.02,-139.94,-7.1,0.3,82.2,25.92,25.85,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"110",12510,1990-08-18,0.02,-139.93,-6.1,1.1,80.8,25.88,26.05,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"111",12511,1990-08-19,0.01,-139.93,-6.2,0.8,81.2,26.06,26.25,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"112",12512,1990-08-20,0.01,-139.93,-7.3,0.4,80.4,25.97,26.27,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"113",12513,1990-08-21,0.02,-139.93,-7.6,0.6,82.4,25.91,26.32,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"114",12514,1990-08-22,0.01,-139.93,-8.4,0.2,79.8,26.03,26.33,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"115",12515,1990-08-23,0.02,-139.93,-8.1,-0.9,76.6,25.77,26.26,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"116",12516,1990-08-24,0.01,-139.93,-7.6,-1.7,79.3,25.61,26.22,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"117",12517,1990-08-25,0,-139.93,-7.4,0.6,83.2,25.71,25.98,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"118",12518,1990-08-26,0,-139.95,-5.9,0.9,84.2,25.56,25.71,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"119",12519,1990-08-27,0,-139.94,-5.9,2.2,84.9,25.35,25.76,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"120",12520,1990-08-28,0,-139.95,-7,1.4,83.6,25.38,25.57,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"121",12521,1990-08-29,0.01,-139.95,-6.9,1.5,83.2,25.46,25.48,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"122",12522,1990-08-30,0.01,-139.95,-7.1,2.8,84.3,25.39,25.5,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"123",12523,1990-08-31,0.01,-139.95,-7.3,2.7,83.5,25.4,25.53,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0
"124",12524,1990-09-01,0.01,-139.94,-7.6,0.2,82.2,25.27,25.6,70,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"125",12525,1990-09-02,0.01,-139.93,-6.4,0.9,83.6,25.04,25.6,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"126",12526,1990-09-03,0,-139.93,-6.3,2.3,88.8,25.02,25.26,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"127",12527,1990-09-04,0.02,-139.93,-6.6,0.2,87.1,24.79,24.84,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"128",12528,1990-09-05,0.02,-139.94,-5.5,-0.9,84,24.68,24.7,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"129",12529,1990-09-06,0,-139.93,-5.7,0.1,84.1,24.72,24.96,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"130",12530,1990-09-07,0.02,-139.94,-7,-0.2,81.8,24.71,24.99,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"131",12531,1990-09-08,0.02,-139.94,-6.7,0.7,84.1,24.81,24.93,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"132",12532,1990-09-09,0,-139.93,-6.2,2.6,86.9,24.82,24.8,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"133",12533,1990-09-10,0.01,-139.95,-6.2,1.8,80.6,24.74,24.77,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"134",12534,1990-09-11,0.01,-139.95,-6.7,0.7,77.4,24.63,24.8,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"135",12535,1990-09-12,0.01,-139.92,-6.4,0.3,84.2,24.77,24.87,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"136",12536,1990-09-13,0,-139.93,-6.8,1.4,86.5,25.01,24.88,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"137",12537,1990-09-14,0,-139.93,-7.3,0.8,85.8,25.04,24.91,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"138",12538,1990-09-15,0,-139.93,-7.8,0.7,84.7,24.99,25,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"139",12539,1990-09-16,0,-139.93,-6.4,0.2,83.3,24.87,25.02,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"140",12540,1990-09-17,0.01,-139.93,-4.6,1.1,86.2,24.99,25.27,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"141",12541,1990-09-18,0.01,-139.93,-4.3,2,89.1,25.07,25.21,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"142",12542,1990-09-19,0.02,-139.92,-5,3.1,89.2,25.21,25.14,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"143",12543,1990-09-20,0.03,-139.93,-5.5,3.7,89.3,25.04,24.91,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"144",12544,1990-09-21,0.02,-139.93,-5,2.3,87.2,24.96,24.77,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"145",12545,1990-09-22,0.02,-139.93,-6.6,0.2,83.7,24.92,24.73,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"146",12546,1990-09-23,0.02,-139.93,-7,-0.5,86.1,24.92,24.67,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"147",12547,1990-09-24,0.02,-139.93,-5.9,1.6,88.5,25.26,24.82,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"148",12548,1990-09-25,0.02,-139.93,-4.8,1.7,88,25.24,25.22,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"149",12549,1990-09-26,0.02,-139.94,-4.8,1.4,82.5,25.38,25.45,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"150",12550,1990-09-27,0.02,-139.93,-4.9,0.9,82.2,25.32,25.51,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"151",12551,1990-09-28,0.03,-139.93,-5,2.4,82.1,25.66,26.16,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"152",12552,1990-09-29,0.02,-139.94,-6.6,1.5,81.6,25.96,26.31,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"153",12553,1990-09-30,0.02,-139.94,-7.3,-0.1,80.7,25.79,26.05,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0
"154",12554,1990-10-01,0.01,-139.94,-7.6,0.8,79.4,25.71,25.93,71,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"155",12555,1990-10-02,0.01,-139.95,-8.3,1.5,77.2,25.71,25.81,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"156",12581,1990-10-28,-0.01,-140.2,-7.1,1.9,78.8,26.11,26.3,26,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"157",12582,1990-10-29,-0.01,-140.21,-7.8,0.6,81.9,26.03,26.28,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"158",12583,1990-10-30,-0.01,-140.2,-8.1,-0.8,79.9,26.16,26.03,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"159",12584,1990-10-31,-0.02,-140.2,-7.8,0.1,77.7,26.31,26.2,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0
"160",12585,1990-11-01,-0.02,-140.2,-6.8,1.9,80,26.25,26.34,70,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"161",12586,1990-11-02,-0.01,-140.21,-7.8,2,79.2,26.27,26.45,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"162",12587,1990-11-03,-0.01,-140.21,-8,0.9,80.4,26.34,26.54,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"163",12588,1990-11-04,-0.01,-140.2,-8.4,1,80.2,26.31,26.59,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"164",12589,1990-11-05,0,-140.19,-7.6,0.7,79.1,26.16,26.47,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"165",12590,1990-11-06,-0.01,-140.19,-6.9,1.2,79.5,26.07,26.46,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"166",12591,1990-11-07,0,-140.2,-7.7,0.7,77.1,26.1,26.34,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"167",12592,1990-11-08,0,-140.2,-9.3,0.4,79.8,26.15,26.11,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"168",12593,1990-11-09,0,-140.2,-8.6,0.1,73.4,25.87,25.94,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"169",12594,1990-11-10,0,-140.2,-8.1,-0.1,77.7,25.93,25.9,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"170",12595,1990-11-11,0.01,-140.2,-9.3,0.9,80.1,26.07,26.04,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"171",12596,1990-11-12,0,-140.21,-9.5,0.3,81.6,26.01,26.02,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"172",12597,1990-11-13,0,-140.21,-9.5,-0.3,82.4,25.84,25.85,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"173",12598,1990-11-14,0,-140.2,-7.5,1.5,83.3,25.5,25.66,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"174",12599,1990-11-15,-0.02,-140.21,-5.7,0,85.1,25.35,25.47,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"175",12600,1990-11-16,-0.02,-140.21,-7.1,-1.1,83.8,25.31,25.4,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"176",12601,1990-11-17,-0.02,-140.21,-7.7,-0.3,84.1,25.38,25.23,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"177",12602,1990-11-18,-0.02,-140.2,-6.5,-0.1,86.5,25.16,25.02,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"178",12603,1990-11-19,-0.01,-140.21,-7.2,0.3,86.5,25.14,24.94,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"179",12604,1990-11-20,-0.01,-140.21,-6.5,0.1,86.9,25.05,25.29,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"180",12605,1990-11-21,-0.01,-140.21,-7.3,0.5,86.1,25.15,25.32,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"181",12606,1990-11-22,0,-140.21,-7.7,-1.8,86.4,25.07,25.04,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"182",12607,1990-11-23,0.01,-140.2,-7.8,-0.8,84.3,24.9,24.58,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"183",12608,1990-11-24,0.05,-140.18,-7.2,-0.9,82.9,25.11,24.73,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"184",12609,1990-11-25,0,-140.21,-8.4,-0.9,83.2,25.26,25.06,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"185",12610,1990-11-26,0,-140.2,-7.3,-1.6,83.3,25.19,25.13,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"186",12611,1990-11-27,0,-140.19,-6.4,-1.6,82,25.04,25.18,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"187",12612,1990-11-28,0,-140.19,-5.8,0.3,82.8,25.09,25.29,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
"188",12613,1990-11-29,0,-140.2,-6.9,1.1,83.5,25.1,25.18,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0
